TIME,POINT1,POINT2,POINT3
0.000000,199.950356,199.925534,0.050000
0.020000,199.906228,199.867608,0.050000
0.040000,199.865174,199.818885,0.050000
0.060000,199.826376,199.775826,0.050000
0.080000,199.789437,199.736524,0.050000
0.100000,199.754093,199.699870,0.050000
0.120000,199.720129,199.665183,0.050000
0.140000,199.687367,199.632023,0.050000
0.160000,199.655654,199.600094,0.050000
0.180000,199.624861,199.569186,0.050000
0.200000,199.594879,199.539145,0.050000
0.220000,199.565618,199.509856,0.050000
0.240000,199.536999,199.481226,0.050000
0.260000,199.508958,199.453183,0.050000
0.280000,199.481439,199.425668,0.050000
0.300000,199.454395,199.398629,0.050000
0.320000,199.427784,199.372026,0.050000
0.340000,199.401570,199.345821,0.050000
0.360000,199.375724,199.319984,0.050000
0.380000,199.350219,199.294487,0.050000
0.400000,199.325030,199.269307,0.050000
0.420000,199.300137,199.244423,0.050000
0.440000,199.275521,199.219816,0.050000
0.460000,199.251168,199.195471,0.050000
0.480000,199.227064,199.171374,0.050000
0.500000,199.203196,199.147514,0.050000
0.520000,199.179556,199.123880,0.050000
0.540000,199.156136,199.100466,0.050000
0.560000,199.132930,199.077266,0.050000
0.580000,199.109936,199.054277,0.050000
0.600000,199.087151,199.031497,0.050000
0.620000,199.064577,199.008926,0.050000
0.640000,199.042216,198.986569,0.050000
0.660000,199.020074,198.964430,0.050000
0.680000,198.998160,198.942518,0.050000
0.700000,198.976482,198.920841,0.050000
0.720000,198.955053,198.899414,0.050000
0.740000,198.933890,198.878251,0.050000
0.760000,198.913008,198.857370,0.050000
0.780000,198.892430,198.836791,0.050000
0.800000,198.872176,198.816537,0.050000
0.820000,198.852274,198.796633,0.050000
0.840000,198.832749,198.777107,0.050000
0.860000,198.813635,198.757991,0.050000
0.880000,198.794957,198.739314,0.050000
0.900000,198.776765,198.721116,0.050000
0.920000,198.759070,198.703425,0.050000
0.940000,198.741954,198.686298,0.050000
0.960000,198.725387,198.669745,0.050000
0.980000,198.709532,198.653861,0.050000
1.000000,198.694234,198.638606,0.050000
1.020000,198.679870,198.624164,0.050000
1.040000,198.665945,198.610360,0.050000
1.060000,198.653394,198.597607,0.050000
1.080000,198.640834,198.585365,0.050000
1.100000,198.630620,198.574637,0.050000
1.120000,198.619125,198.563952,0.050000
1.140000,198.612250,198.555788,0.050000
1.160000,198.600802,198.546365,0.050000
1.180000,198.599385,198.541767,0.050000
1.200000,198.585271,198.532608,0.050000
1.220000,198.594029,198.533660,0.050000
1.240000,198.570594,198.522137,0.050000
1.260000,198.600225,198.533401,0.050000
1.280000,198.551783,198.513141,0.050000
1.300000,198.626600,198.544823,0.050000
1.320000,198.517046,198.500993,0.050000
1.340000,198.692010,198.575997,0.050000
1.360000,198.439600,198.474851,0.050000
1.380000,198.838015,198.644414,0.050000
1.400000,198.260175,198.410438,0.050000
1.420000,199.156555,198.788503,0.050000
1.440000,197.850810,198.255142,0.050000
1.460000,199.852567,199.093858,0.050000
1.480000,196.944703,197.899498,0.050000
1.500000,201.391970,199.756008,0.050000
1.520000,195.022989,197.132706,0.050000
1.540000,204.877804,201.244162,0.050000
1.560000,191.251824,195.626473,0.050000
1.580000,213.075150,204.773479,0.050000
1.600000,185.222682,193.276730,0.050000
1.620000,232.953710,213.700089,0.050000
1.640000,182.382972,192.635495,0.050000
1.660000,275.751054,236.195200,0.050000
1.680000,210.525395,208.714863,0.050000
1.700000,318.697497,275.546524,0.050000
1.720000,273.915062,263.370888,0.050000
1.740000,331.118364,305.806728,0.050000
1.760000,313.888760,307.095618,0.050000
1.780000,340.788307,328.044939,0.050000
1.800000,335.826455,332.184803,0.050000
1.820000,349.992114,343.700902,0.050000
1.840000,349.452937,347.651364,0.050000
1.860000,357.869425,354.710941,0.050000
1.880000,358.839448,357.968366,0.050000
1.900000,364.319166,362.672023,0.050000
1.920000,365.731155,365.293331,0.050000
1.940000,369.543572,368.631714,0.050000
1.960000,371.003400,370.754477,0.050000
1.980000,373.792019,373.243737,0.050000
2.000000,375.160758,374.988230,0.050000
2.020000,377.283908,376.919432,0.050000
2.040000,378.521819,378.376668,0.050000
2.060000,380.193584,379.924570,0.050000
2.080000,381.299015,381.161226,0.050000
2.100000,382.654089,382.436180,0.050000
2.120000,383.638879,383.501075,0.050000
2.140000,384.765352,384.575679,0.050000
2.160000,385.644909,385.504911,0.050000
2.180000,386.602158,386.428567,0.050000
2.200000,387.391590,387.249169,0.050000
2.220000,388.220652,388.056463,0.050000
2.240000,388.933420,388.788954,0.050000
2.260000,389.663280,389.504694,0.050000
2.280000,390.310886,390.164847,0.050000
2.300000,390.962431,390.807215,0.050000
2.320000,391.554517,391.407302,0.050000
2.340000,392.143079,391.989881,0.050000
2.360000,392.687660,392.539561,0.050000
2.380000,393.224702,393.072681,0.050000
2.400000,393.728425,393.579639,0.050000
2.420000,394.222666,394.071289,0.050000
2.440000,394.691048,394.541703,0.050000
2.460000,395.149233,394.998155,0.050000
2.480000,395.586871,395.437049,0.050000
2.500000,396.014306,395.863304,0.050000
2.520000,396.425048,396.274797,0.050000
2.540000,396.825973,396.674899,0.050000
2.560000,397.213057,397.062409,0.050000
2.580000,397.590911,397.439669,0.050000
2.600000,397.957083,397.806056,0.050000
2.620000,398.314696,398.163224,0.050000
2.640000,398.662298,398.510904,0.050000
2.660000,399.002032,398.850290,0.050000
2.680000,399.333076,399.181324,0.050000
2.700000,399.656924,399.504887,0.050000
2.720000,399.973151,399.821048,0.050000
2.740000,400.282819,400.130473,0.050000
2.760000,400.585746,400.433298,0.050000
2.780000,400.882704,400.730041,0.050000
2.800000,401.173661,401.020875,0.050000
2.820000,401.459193,401.306211,0.050000
2.840000,401.739355,401.586236,0.050000
2.860000,402.014589,401.861288,0.050000
2.880000,402.284998,402.131553,0.050000
2.900000,402.550933,402.397316,0.050000
2.920000,402.812523,402.658757,0.050000
2.940000,403.070050,402.916119,0.050000
2.960000,403.323655,403.169576,0.050000
2.980000,403.573575,403.419335,0.050000
3.000000,403.819950,403.665562,0.050000
3.020000,404.062982,403.908440,0.050000
3.040000,404.302811,404.148121,0.050000
3.060000,404.539610,404.384768,0.050000
3.080000,404.773512,404.618525,0.050000
3.100000,405.004672,404.849537,0.050000
3.120000,405.233214,405.077935,0.050000
3.140000,405.459277,405.303853,0.050000
3.160000,405.682977,405.527412,0.050000
3.180000,405.904438,405.748731,0.050000
3.200000,406.123771,405.967924,0.050000
3.220000,406.341087,406.185099,0.050000
3.240000,406.556487,406.400362,0.050000
3.260000,406.770075,406.613813,0.050000
3.280000,406.981946,406.825547,0.050000
3.300000,407.192191,407.035657,0.050000
3.320000,407.400900,407.244231,0.050000
