TIME,POINT1,POINT2,POINT3
0.000000,179.977770,179.977770,179.977770
0.020000,179.960612,179.960612,179.960612
0.040000,179.945057,179.945057,179.945057
0.060000,179.930009,179.930009,179.930009
0.080000,179.915122,179.915122,179.915122
0.100000,179.900287,179.900287,179.900287
0.120000,179.885469,179.885469,179.885469
0.140000,179.870658,179.870658,179.870658
0.160000,179.855849,179.855849,179.855849
0.180000,179.841043,179.841043,179.841043
0.200000,179.826237,179.826237,179.826237
0.220000,179.811433,179.811433,179.811433
0.240000,179.796631,179.796631,179.796631
0.260000,179.781829,179.781829,179.781829
0.280000,179.767029,179.767029,179.767029
0.300000,179.752230,179.752230,179.752230
0.320000,179.737433,179.737433,179.737433
0.340000,179.722636,179.722636,179.722636
0.360000,179.707841,179.707841,179.707841
0.380000,179.693048,179.693048,179.693048
0.400000,179.678255,179.678255,179.678255
0.420000,179.663464,179.663464,179.663464
0.440000,179.648674,179.648674,179.648674
0.460000,179.633886,179.633886,179.633886
0.480000,179.619098,179.619098,179.619098
0.500000,179.604312,179.604312,179.604312
0.520000,179.589527,179.589527,179.589527
0.540000,179.574744,179.574744,179.574744
0.560000,179.559961,179.559961,179.559961
0.580000,179.545180,179.545180,179.545180
0.600000,179.530400,179.530400,179.530400
0.620000,179.515621,179.515621,179.515621
0.640000,179.500843,179.500843,179.500843
0.660000,179.486066,179.486066,179.486066
0.680000,179.471290,179.471290,179.471290
0.700000,179.456515,179.456515,179.456515
0.720000,179.441741,179.441741,179.441741
0.740000,179.426968,179.426968,179.426968
0.760000,179.412196,179.412196,179.412196
0.780000,179.397425,179.397425,179.397425
0.800000,179.382656,179.382656,179.382656
0.820000,179.367888,179.367888,179.367888
0.840000,179.353121,179.353121,179.353121
0.860000,179.338357,179.338357,179.338357
0.880000,179.323595,179.323595,179.323595
0.900000,179.308836,179.308836,179.308836
0.920000,179.294080,179.294080,179.294080
0.940000,179.279328,179.279328,179.279328
0.960000,179.264580,179.264580,179.264580
0.980000,179.249839,179.249839,179.249839
1.000000,179.235104,179.235104,179.235104
1.020000,179.220378,179.220378,179.220378
1.040000,179.205661,179.205661,179.205661
1.060000,179.190955,179.190955,179.190955
1.080000,179.176262,179.176261,179.176261
1.100000,179.161585,179.161585,179.161585
1.120000,179.146922,179.146922,179.146922
1.140000,179.132286,179.132286,179.132286
1.160000,179.117659,179.117658,179.117658
1.180000,179.103087,179.103087,179.103087
1.200000,179.088483,179.088483,179.088483
1.220000,179.074035,179.074035,179.074035
1.240000,179.059379,179.059379,179.059379
1.260000,179.045245,179.045244,179.045244
1.280000,179.030228,179.030228,179.030228
1.300000,179.017029,179.017029,179.017029
1.320000,179.000562,179.000562,179.000562
1.340000,178.990346,178.990346,178.990346
1.360000,178.968786,178.968786,178.968786
1.380000,178.968152,178.968151,178.968151
1.400000,178.929819,178.929819,178.929819
1.420000,178.959494,178.959493,178.959493
1.440000,178.868076,178.868076,178.868076
1.460000,178.991552,178.991552,178.991552
1.480000,178.737091,178.737091,178.737091
1.500000,179.144472,179.144471,179.144471
1.520000,178.401833,178.401832,178.401832
1.540000,179.650937,179.650937,179.650937
1.560000,177.480571,177.480570,177.480570
1.580000,181.181695,181.181695,181.181695
1.600000,174.936753,174.936753,174.936753
1.620000,185.693318,185.693318,185.693318
1.640000,168.186129,168.186128,168.186128
1.660000,199.169576,199.169577,199.169577
1.680000,152.368664,152.368663,152.368663
1.700000,241.034468,241.034473,241.034473
1.720000,130.074158,130.074159,130.074159
1.740000,358.226102,358.226106,358.226106
1.760000,172.810739,172.810743,172.810743
1.780000,480.910849,480.910843,480.910843
1.800000,326.738133,326.738128,326.738128
1.820000,459.205304,459.205302,459.205302
1.840000,381.586948,381.586945,381.586945
1.860000,439.127483,439.127481,439.127481
1.880000,401.064634,401.064632,401.064632
1.900000,426.695461,426.695460,426.695460
1.920000,407.557762,407.557761,407.557761
1.940000,420.332308,420.332307,420.332307
1.960000,410.479804,410.479803,410.479803
1.980000,417.284724,417.284724,417.284724
2.000000,412.335586,412.335586,412.335586
2.020000,416.039578,416.039578,416.039578
2.040000,413.718572,413.718572,413.718572
2.060000,415.799504,415.799504,415.799504
2.080000,414.866563,414.866563,414.866563
2.100000,416.108133,416.108133,416.108133
2.120000,415.890342,415.890343,415.890343
2.140000,416.701865,416.701865,416.701865
2.160000,416.839850,416.839850,416.839850
2.180000,417.432199,417.432200,417.432200
2.200000,417.737254,417.737254,417.737254
2.220000,418.217590,418.217590,418.217590
2.240000,418.592532,418.592531,418.592531
2.260000,419.014253,419.014253,419.014253
2.280000,419.410362,419.410361,419.410361
2.300000,419.799302,419.799302,419.799302
2.320000,420.193176,420.193176,420.193176
2.340000,420.561290,420.561289,420.561289
2.360000,420.942524,420.942523,420.942523
2.380000,421.294999,421.294998,421.294998
2.400000,421.659673,421.659672,421.659672
2.420000,421.998568,421.998567,421.998567
