PlateThickness,InitialTemperature,HeatInput,ElectrodeVelocity,X,Y,Z,Delta Time
0.004,180,1000,0.0035,0.05,0.015,0.002,0.0
0.004,180,1200,0.003,0.0,0.02,0.0,13.08
0.003,200,900,0.003,0.025,0.025,0.0015,12.02
0.005,200,900,0.004,0.0,0.025,0.0,0.0
0.004,200,900,0.003,0.05,0.015,0.002,25.7
0.003,180,900,0.004,0.025,0.025,0.003,0.0
0.003,200,1000,0.004,0.0,0.0,0.0,6.08
0.004,180,900,0.0035,0.0,0.04,0.002,0.0
0.004,200,900,0.0035,0.025,0.025,0.002,0.0
0.003,240,1200,0.0035,0.0,0.015,0.003,14.02
0.004,240,1000,0.003,0.05,0.04,0.002,0.0
0.003,200,1000,0.004,0.025,0.04,0.003,0.0
0.005,180,1000,0.003,0.0,0.04,0.005,0.0
0.004,240,1000,0.003,0.025,0.025,0.0,13.26
0.005,180,1200,0.0035,0.05,0.02,0.0,7.56
0.004,180,900,0.0035,0.05,0.025,0.0,0.0
0.004,240,1000,0.004,0.025,0.0,0.004,0.0
0.004,200,1000,0.004,0.05,0.015,0.0,4.42
0.005,240,1000,0.0035,0.0,0.0,0.005,0.0
0.004,200,1000,0.0035,0.025,0.04,0.002,0.0
0.003,240,900,0.004,0.0,0.04,0.0015,0.0
0.005,180,900,0.004,0.025,0.025,0.0,0.0
0.005,240,900,0.004,0.025,0.0,0.005,0.0
0.004,200,1000,0.004,0.0,0.025,0.002,0.0
0.003,200,1200,0.0035,0.05,0.015,0.003,0.0
0.004,240,1200,0.004,0.0,0.0,0.002,0.0
0.004,180,1000,0.004,0.0,0.04,0.002,10.54
0.005,180,1200,0.003,0.025,0.02,0.005,29.48
0.003,240,1000,0.0035,0.0,0.0,0.0,0.0
0.005,200,1200,0.0035,0.0,0.02,0.005,0.0
0.005,240,1000,0.0035,0.025,0.025,0.005,3.58
0.004,200,900,0.004,0.0,0.02,0.0,0.72
0.003,200,1000,0.0035,0.025,0.0,0.003,5.94
0.003,180,900,0.004,0.0,0.025,0.0,0.0
0.005,240,1200,0.0035,0.025,0.04,0.0025,0.0
0.005,240,900,0.0035,0.025,0.025,0.0025,0.0
0.003,240,1000,0.0035,0.025,0.0,0.0,0.0
0.003,240,1000,0.003,0.0,0.0,0.003,0.0
0.004,180,1200,0.0035,0.025,0.0,0.002,0.0
0.004,180,1200,0.004,0.05,0.0,0.0,0.0
0.004,200,1200,0.004,0.025,0.02,0.002,18.58
0.005,200,1200,0.004,0.025,0.0,0.005,0.0
0.004,180,1000,0.003,0.025,0.015,0.0,0.0
0.004,240,900,0.0035,0.05,0.025,0.002,0.0
0.003,240,1200,0.004,0.025,0.04,0.0,0.0
0.003,180,1000,0.004,0.0,0.04,0.0015,0.0
0.004,240,1200,0.003,0.0,0.015,0.002,3.2
0.004,180,1200,0.003,0.05,0.025,0.002,12.3
0.004,180,1000,0.004,0.0,0.04,0.0,10.62
0.003,240,1000,0.0035,0.05,0.0,0.0015,0.0
0.005,240,1200,0.004,0.0,0.025,0.0025,0.0
0.003,180,900,0.003,0.05,0.04,0.0,0.0
0.003,180,1200,0.0035,0.05,0.025,0.0,11.72
0.005,180,900,0.003,0.025,0.02,0.005,23.04
0.005,200,1000,0.003,0.05,0.025,0.0,0.0
0.005,180,1000,0.0035,0.05,0.025,0.0,0.0
0.003,240,1200,0.0035,0.05,0.02,0.0,10.32
0.004,240,900,0.003,0.025,0.0,0.004,0.0
0.004,200,1000,0.003,0.05,0.04,0.0,0.0
0.003,180,1200,0.004,0.0,0.04,0.003,0.0
0.005,240,900,0.004,0.025,0.02,0.005,6.42
0.004,180,1200,0.004,0.05,0.02,0.002,19.6
0.004,200,1000,0.004,0.0,0.0,0.0,0.0
0.005,180,1200,0.003,0.0,0.015,0.005,11.24
0.005,180,900,0.0035,0.025,0.02,0.0025,15.64
0.003,180,900,0.004,0.025,0.04,0.0,10.0
0.003,180,900,0.004,0.025,0.0,0.0,0.0
0.003,240,900,0.004,0.0,0.025,0.0015,4.84
0.005,200,1000,0.0035,0.05,0.02,0.0,1.02
0.004,200,1000,0.004,0.05,0.02,0.0,11.96
0.003,240,900,0.004,0.05,0.015,0.0,0.0
0.003,240,900,0.0035,0.0,0.02,0.0,17.16
0.005,200,900,0.004,0.025,0.0,0.0,0.0
0.004,240,1000,0.0035,0.0,0.0,0.004,0.0
0.003,180,1000,0.003,0.025,0.04,0.0,20.54
0.005,240,1200,0.0035,0.0,0.025,0.0025,0.0
0.003,180,1000,0.003,0.025,0.0,0.0015,0.0
0.004,180,1200,0.003,0.0,0.025,0.0,5.68
0.004,200,1200,0.003,0.025,0.0,0.0,0.0
0.003,240,1000,0.0035,0.05,0.04,0.0,0.0
0.003,180,1000,0.0035,0.025,0.025,0.0015,16.14
0.003,240,1000,0.0035,0.05,0.02,0.0015,5.96
0.004,240,900,0.003,0.0,0.015,0.0,0.0
0.003,240,900,0.0035,0.025,0.025,0.0,0.0
0.003,200,900,0.0035,0.05,0.025,0.0,0.0
0.003,200,1000,0.004,0.025,0.02,0.003,0.0
0.004,180,900,0.003,0.05,0.02,0.002,13.94
0.003,200,900,0.004,0.0,0.04,0.0,0.0
0.005,180,1000,0.003,0.05,0.015,0.0,0.0
0.004,240,1000,0.003,0.0,0.02,0.002,13.1
0.004,240,1000,0.003,0.0,0.015,0.004,0.0
0.004,180,1200,0.0035,0.05,0.02,0.004,11.54
0.004,180,1200,0.0035,0.0,0.04,0.002,0.0
0.003,200,1200,0.004,0.0,0.025,0.0015,10.68
0.003,200,1200,0.0035,0.0,0.04,0.0,0.0
0.004,180,1200,0.0035,0.0,0.04,0.0,0.0
0.004,240,1000,0.004,0.0,0.02,0.004,0.0
0.004,240,1200,0.0035,0.025,0.0,0.004,0.0
0.004,180,1000,0.003,0.0,0.015,0.004,3.28
0.003,180,1200,0.003,0.0,0.025,0.0,19.42
0.003,200,900,0.004,0.025,0.02,0.0015,9.1
0.005,200,1200,0.0035,0.0,0.02,0.0,5.54
0.003,200,1200,0.0035,0.05,0.02,0.0,10.8
0.003,180,1000,0.0035,0.0,0.025,0.003,6.28
0.003,240,1200,0.004,0.0,0.025,0.003,9.6
0.005,180,1200,0.004,0.0,0.02,0.005,0.0
0.003,240,1000,0.0035,0.0,0.04,0.0,0.0
0.005,200,900,0.0035,0.0,0.02,0.0025,0.0
0.005,200,1000,0.003,0.025,0.0,0.0025,0.0
0.005,200,1200,0.0035,0.0,0.0,0.0,0.0
0.004,240,1000,0.004,0.0,0.0,0.0,0.0
0.005,240,1000,0.003,0.025,0.04,0.0,0.0
0.004,180,900,0.0035,0.0,0.0,0.002,0.0
0.005,240,1200,0.003,0.05,0.015,0.0,0.0
0.004,200,900,0.003,0.0,0.015,0.002,0.0
0.003,180,1000,0.004,0.0,0.0,0.0,0.0
0.005,200,1200,0.004,0.05,0.02,0.0,0.56
0.005,240,1000,0.004,0.05,0.025,0.0,0.0
0.003,180,1000,0.003,0.025,0.015,0.003,0.0
0.005,200,1000,0.0035,0.0,0.0,0.0,0.0
0.005,200,900,0.0035,0.0,0.0,0.0,0.0
0.004,180,900,0.0035,0.0,0.02,0.004,20.8
0.004,180,900,0.003,0.0,0.0,0.0,0.0
0.003,180,1000,0.003,0.025,0.025,0.003,14.54
0.005,240,900,0.004,0.0,0.025,0.0025,0.0
0.004,180,1200,0.0035,0.05,0.04,0.002,0.0
0.005,240,900,0.004,0.0,0.015,0.0025,0.0
0.005,180,1000,0.003,0.025,0.015,0.0025,19.88
0.005,200,1200,0.003,0.05,0.0,0.0,0.0
0.005,200,1200,0.0035,0.025,0.02,0.0,19.3
0.003,180,1000,0.0035,0.025,0.02,0.003,9.96
0.004,200,1200,0.003,0.05,0.0,0.002,0.0
0.003,200,900,0.004,0.025,0.025,0.003,0.0
0.004,240,1000,0.0035,0.0,0.0,0.0,0.0
0.004,200,1000,0.0035,0.025,0.015,0.0,0.0
0.003,180,1200,0.003,0.0,0.02,0.0,9.58
0.005,240,900,0.003,0.0,0.02,0.005,3.48
0.004,180,1200,0.003,0.025,0.02,0.0,0.0
0.004,200,1000,0.003,0.0,0.015,0.002,0.0
0.004,200,1000,0.003,0.025,0.02,0.002,14.74
0.004,240,1200,0.003,0.0,0.02,0.002,16.62
0.003,180,1000,0.0035,0.0,0.015,0.0,0.0
0.004,200,1000,0.0035,0.025,0.02,0.004,2.46
0.003,180,1200,0.004,0.025,0.025,0.0,7.78
0.005,200,1000,0.004,0.0,0.025,0.0,0.0
0.004,200,1000,0.004,0.025,0.025,0.002,0.0
0.005,200,900,0.004,0.025,0.015,0.0,0.0
0.003,240,1000,0.0035,0.025,0.02,0.0,13.74
0.003,240,1200,0.004,0.05,0.025,0.0,0.0
0.005,180,900,0.004,0.0,0.04,0.005,0.0
0.004,200,1000,0.003,0.05,0.02,0.0,21.06
0.003,200,1000,0.004,0.025,0.02,0.0015,0.0
0.005,180,1200,0.003,0.025,0.0,0.005,0.0
0.004,240,1200,0.003,0.025,0.025,0.0,15.32
0.005,240,1200,0.0035,0.0,0.02,0.0025,4.1
0.005,240,900,0.004,0.05,0.015,0.0,0.0
0.005,180,1200,0.004,0.025,0.025,0.005,8.72
0.004,200,1000,0.0035,0.025,0.04,0.004,0.0
0.003,200,1200,0.004,0.0,0.02,0.0015,17.04
0.003,180,1000,0.0035,0.0,0.0,0.0,0.0
0.003,200,900,0.003,0.025,0.04,0.003,0.0
0.004,180,1200,0.004,0.0,0.025,0.0,13.44
0.005,240,1000,0.0035,0.025,0.025,0.0,4.72
0.005,240,1000,0.0035,0.025,0.0,0.0,0.0
0.005,200,1000,0.003,0.0,0.02,0.005,10.88
0.004,240,900,0.004,0.0,0.02,0.0,0.0
0.003,240,1200,0.004,0.05,0.04,0.003,0.0
0.004,200,1200,0.003,0.025,0.025,0.002,17.0
0.004,180,1000,0.004,0.0,0.0,0.004,0.0
0.003,240,900,0.0035,0.025,0.0,0.0,0.0
0.005,180,1000,0.003,0.05,0.0,0.0025,0.0
0.003,180,900,0.003,0.0,0.025,0.0,0.0
0.003,240,1200,0.003,0.0,0.02,0.0015,9.26
0.005,180,1000,0.004,0.0,0.04,0.005,0.0
0.004,180,900,0.003,0.0,0.025,0.0,5.46
0.005,200,900,0.0035,0.025,0.015,0.0025,5.42
0.003,240,1200,0.003,0.05,0.0,0.003,0.0
0.003,200,900,0.0035,0.025,0.04,0.0015,0.0
0.004,240,1200,0.003,0.025,0.025,0.004,15.12
0.004,180,1200,0.004,0.025,0.02,0.004,0.0
0.005,200,1200,0.0035,0.0,0.025,0.0,0.0
0.005,240,1000,0.004,0.025,0.025,0.0025,0.0
0.005,180,1000,0.003,0.025,0.0,0.0025,0.0
0.004,180,900,0.003,0.025,0.02,0.0,4.72
0.005,200,1200,0.003,0.05,0.0,0.0025,0.0
0.004,240,1200,0.004,0.0,0.0,0.004,0.0
0.005,240,1000,0.004,0.025,0.015,0.005,0.0
0.004,200,1200,0.0035,0.025,0.015,0.002,12.02
0.005,200,900,0.003,0.025,0.04,0.0025,0.0
0.005,200,1000,0.0035,0.0,0.025,0.0025,0.0
0.005,240,1000,0.003,0.0,0.0,0.0,0.0
0.003,180,1000,0.0035,0.05,0.0,0.0015,0.0
0.003,200,1200,0.003,0.025,0.04,0.0,0.0
0.005,240,1000,0.004,0.025,0.025,0.0,0.0
0.005,200,1200,0.003,0.025,0.015,0.005,19.62
0.004,180,1200,0.003,0.025,0.02,0.002,0.0
0.004,180,1200,0.004,0.0,0.025,0.004,13.24
0.005,200,1200,0.003,0.025,0.015,0.0025,19.92
0.005,200,1200,0.004,0.025,0.025,0.0,6.06
0.004,200,1000,0.004,0.025,0.02,0.004,0.0
0.003,240,1200,0.004,0.05,0.0,0.003,0.0
0.005,180,900,0.003,0.025,0.02,0.0,23.4
0.003,200,900,0.003,0.0,0.0,0.0015,0.0
0.003,200,1000,0.004,0.05,0.0,0.0015,0.0
0.003,240,900,0.0035,0.0,0.025,0.0015,10.58
0.003,180,1000,0.0035,0.0,0.02,0.0015,0.0
0.003,240,1200,0.003,0.025,0.025,0.0,0.0
0.005,240,1000,0.004,0.025,0.04,0.0,0.0
0.004,180,1000,0.003,0.05,0.02,0.0,17.42
0.003,180,900,0.0035,0.025,0.02,0.003,8.12
0.005,200,1000,0.003,0.0,0.02,0.0,12.2
0.003,180,1000,0.0035,0.05,0.04,0.0,0.0
0.005,180,900,0.0035,0.05,0.04,0.0025,0.0
0.005,180,900,0.0035,0.0,0.0,0.005,0.0
0.003,200,1000,0.003,0.025,0.025,0.0015,19.42
0.003,180,1200,0.0035,0.05,0.015,0.0,0.0
0.005,240,1000,0.003,0.025,0.025,0.0025,11.1
0.005,180,1000,0.004,0.025,0.0,0.0025,0.0
0.004,240,1200,0.003,0.025,0.0,0.002,0.0
0.005,180,1000,0.0035,0.05,0.0,0.0025,0.0
0.004,200,900,0.0035,0.05,0.025,0.002,7.34
0.005,180,1000,0.004,0.025,0.025,0.0025,2.72
0.004,200,900,0.004,0.025,0.025,0.002,0.0
0.004,240,1200,0.004,0.025,0.0,0.004,0.0
0.005,180,1000,0.003,0.025,0.02,0.0,25.92
0.004,180,1200,0.0035,0.0,0.02,0.002,30.3
0.004,180,1200,0.0035,0.0,0.025,0.004,18.5
0.003,200,1200,0.004,0.05,0.04,0.0,0.0
0.003,200,1200,0.003,0.05,0.0,0.003,0.0
0.003,180,900,0.0035,0.025,0.02,0.0,8.18
0.005,180,1000,0.003,0.05,0.04,0.0025,0.0
0.004,180,1000,0.0035,0.025,0.025,0.002,0.0
0.004,240,1000,0.004,0.025,0.015,0.004,0.0
0.005,200,900,0.003,0.025,0.04,0.005,0.0
0.005,180,1000,0.004,0.05,0.015,0.0025,0.0
