PlateThickness,InitialTemperature,HeatInput,ElectrodeVelocity,X,Y,Z,Max Temperature
0.005,180,1200,0.0035,0.025,0.025,0.0,866.256279
0.005,200,1000,0.0035,0.05,0.02,0.0,753.840272
0.003,180,1200,0.004,0.025,0.04,0.0,550.245245
0.003,200,1200,0.003,0.05,0.04,0.0,592.78199
0.004,180,900,0.0035,0.0,0.0,0.002,598.933715
0.004,200,1200,0.004,0.0,0.0,0.002,552.53734
0.003,200,1200,0.003,0.025,0.0,0.0,507.430222
0.005,200,1000,0.0035,0.0,0.025,0.0025,617.845063
0.004,200,1000,0.0035,0.025,0.04,0.004,565.90185
0.005,200,1000,0.003,0.025,0.0,0.005,614.900925
0.005,180,900,0.003,0.025,0.04,0.0,626.084993
0.003,180,900,0.003,0.05,0.02,0.0,691.950512
0.005,180,900,0.0035,0.05,0.0,0.0,571.162746
0.005,180,1200,0.0035,0.025,0.04,0.0,626.672391
0.005,180,1000,0.004,0.0,0.0,0.005,552.578273
0.005,240,1200,0.003,0.05,0.0,0.0025,595.480911
0.005,200,900,0.003,0.025,0.025,0.0025,827.293963
0.003,180,1000,0.003,0.0,0.04,0.0015,1081.459448
0.004,180,1200,0.003,0.05,0.015,0.004,763.717829
0.005,240,1200,0.003,0.025,0.04,0.0025,601.154904
0.003,180,1000,0.003,0.025,0.015,0.0,577.060506
0.004,240,1200,0.0035,0.025,0.0,0.002,575.050911
0.003,240,900,0.0035,0.05,0.015,0.003,601.656583
0.003,180,900,0.0035,0.0,0.025,0.0015,778.460991
0.005,200,1200,0.004,0.025,0.02,0.005,1061.66318
0.005,180,900,0.0035,0.025,0.02,0.0025,1115.939655
0.005,200,1200,0.003,0.05,0.015,0.0,725.639195
0.005,240,1000,0.0035,0.0,0.0,0.0025,541.669878
0.005,200,900,0.0035,0.025,0.02,0.0,1392.659116
0.003,200,1000,0.003,0.0,0.04,0.0015,704.117021
0.003,180,1200,0.004,0.0,0.015,0.0,530.506991
0.005,240,1200,0.004,0.0,0.04,0.0025,530.920762
0.003,200,1000,0.0035,0.025,0.02,0.0,541.915585
0.005,240,1200,0.003,0.0,0.025,0.0,694.409943
0.005,180,900,0.0035,0.0,0.015,0.0,629.889951
0.005,240,1200,0.003,0.0,0.04,0.0025,596.595955
0.005,180,1200,0.003,0.025,0.0,0.0,650.033299
0.004,180,1200,0.003,0.05,0.02,0.0,1238.54211
0.005,240,900,0.003,0.025,0.0,0.005,577.932109
0.004,180,900,0.0035,0.0,0.025,0.002,889.675041
0.004,180,1200,0.0035,0.0,0.015,0.0,962.807684
0.005,200,1200,0.003,0.025,0.025,0.0025,907.153592
0.005,180,1200,0.004,0.0,0.025,0.0025,630.151158
0.003,200,900,0.004,0.0,0.02,0.0,720.66166
0.004,200,1200,0.003,0.0,0.02,0.004,1074.455581
0.005,200,1200,0.003,0.0,0.04,0.0,622.894609
0.003,240,900,0.003,0.025,0.015,0.0,622.140504
0.005,200,1200,0.0035,0.0,0.025,0.0,657.840754
0.005,180,900,0.0035,0.05,0.015,0.0,630.355705
0.004,240,900,0.0035,0.05,0.02,0.0,776.061468
0.003,180,900,0.003,0.0,0.0,0.003,565.673447
0.004,240,1200,0.004,0.025,0.04,0.0,545.053754
0.004,240,900,0.0035,0.05,0.015,0.002,598.438963
0.004,180,900,0.003,0.0,0.0,0.004,522.349746
0.005,200,900,0.0035,0.025,0.015,0.0,761.311694
0.005,200,1200,0.0035,0.0,0.04,0.0025,587.506029
0.005,180,1200,0.0035,0.0,0.04,0.005,609.474745
0.005,240,1200,0.004,0.0,0.04,0.0,530.609318
0.004,180,1000,0.004,0.05,0.0,0.002,550.342938
0.003,180,1200,0.0035,0.05,0.02,0.0,683.811568
0.003,180,900,0.003,0.0,0.015,0.003,691.614065
0.005,200,1000,0.0035,0.05,0.02,0.0025,668.863808
0.004,180,900,0.003,0.025,0.015,0.0,607.831753
0.003,180,1000,0.004,0.025,0.02,0.003,753.934363
0.005,180,1000,0.003,0.0,0.02,0.0025,776.160853
0.005,200,1200,0.003,0.0,0.02,0.0,1212.631677
0.004,200,900,0.0035,0.025,0.04,0.002,555.324873
0.003,240,1200,0.004,0.05,0.02,0.003,879.360323
0.005,200,900,0.0035,0.025,0.015,0.0025,748.328885
0.005,180,1200,0.0035,0.025,0.015,0.0025,856.298324
0.004,180,1000,0.003,0.05,0.04,0.0,605.619141
0.005,180,1200,0.004,0.05,0.04,0.0,580.618403
0.004,200,1000,0.004,0.05,0.02,0.002,1205.487121
0.004,200,1000,0.003,0.0,0.015,0.002,574.809194
0.003,180,1200,0.003,0.0,0.015,0.0,594.969738
0.003,180,1200,0.0035,0.0,0.02,0.0,683.484923
0.003,180,1200,0.003,0.0,0.04,0.0,768.323299
0.004,240,900,0.004,0.025,0.015,0.0,695.795571
0.003,240,1200,0.004,0.05,0.0,0.003,507.946324
0.005,200,1000,0.0035,0.025,0.0,0.005,582.001108
0.003,180,900,0.004,0.05,0.015,0.0015,525.222574
0.003,180,1200,0.0035,0.025,0.04,0.0,884.963471
0.004,200,900,0.0035,0.025,0.02,0.0,761.524921
0.004,240,1000,0.004,0.0,0.025,0.002,562.107608
0.004,200,1000,0.0035,0.0,0.04,0.002,589.109929
0.005,240,1000,0.0035,0.0,0.04,0.0,541.951593
0.004,200,1200,0.0035,0.05,0.025,0.002,670.406317
0.004,200,900,0.0035,0.05,0.015,0.0,789.404651
0.005,240,1200,0.0035,0.0,0.0,0.0,561.434003
0.003,180,900,0.003,0.025,0.04,0.003,891.764823
0.004,240,1000,0.004,0.0,0.02,0.004,661.083447
0.004,240,1000,0.004,0.025,0.0,0.004,525.234379
0.005,180,1200,0.0035,0.05,0.02,0.0,881.694538
0.005,240,1000,0.003,0.0,0.04,0.005,579.086253
0.004,180,1000,0.003,0.025,0.0,0.002,545.20495
0.004,180,900,0.0035,0.025,0.025,0.0,695.034952
0.004,200,1000,0.003,0.025,0.02,0.0,1058.090201
0.004,180,1000,0.003,0.025,0.015,0.0,599.447506
0.003,200,1200,0.004,0.05,0.025,0.0,612.339133
0.005,240,1000,0.004,0.0,0.02,0.0,732.352591
0.003,200,900,0.003,0.05,0.0,0.0,564.812626
0.003,180,900,0.0035,0.025,0.015,0.0,554.744216
0.004,240,1200,0.003,0.05,0.04,0.002,591.846741
0.004,180,1200,0.0035,0.025,0.015,0.002,763.717829
0.003,240,1200,0.004,0.05,0.0,0.0015,507.946324
0.004,240,1200,0.0035,0.0,0.0,0.004,565.705503
0.005,240,1000,0.004,0.025,0.04,0.005,525.863028
0.005,180,1000,0.0035,0.025,0.025,0.0,814.115182
0.003,200,1200,0.004,0.0,0.02,0.0,1500.0
0.003,200,1200,0.004,0.05,0.015,0.003,621.889025
0.005,180,1200,0.004,0.0,0.0,0.005,579.511042
0.003,200,1200,0.0035,0.0,0.04,0.0015,595.180059
0.004,180,1000,0.003,0.0,0.02,0.002,1150.79742
0.003,200,1200,0.003,0.05,0.015,0.0015,764.634629
0.003,240,900,0.004,0.0,0.02,0.0015,1351.295546
0.004,240,900,0.004,0.0,0.02,0.004,614.445382
0.004,180,1200,0.004,0.025,0.02,0.004,698.459638
0.004,200,900,0.004,0.025,0.02,0.004,596.991277
0.003,200,1200,0.003,0.0,0.0,0.003,739.114302
0.003,180,1000,0.0035,0.025,0.02,0.003,842.336268
0.003,200,900,0.0035,0.0,0.015,0.003,619.329519
0.005,180,1200,0.004,0.025,0.04,0.0,604.020974
0.004,240,1200,0.003,0.025,0.02,0.002,1500.0
0.004,240,1000,0.004,0.025,0.0,0.0,525.234379
0.004,240,1200,0.003,0.0,0.0,0.002,591.476941
0.005,180,1000,0.004,0.05,0.025,0.0025,595.918941
0.004,200,900,0.0035,0.0,0.025,0.0,685.914601
0.004,240,1000,0.004,0.05,0.04,0.002,510.997574
0.003,180,900,0.004,0.05,0.025,0.0,574.224585
0.003,200,1200,0.0035,0.025,0.02,0.0,1322.39327
0.003,180,900,0.004,0.025,0.025,0.0015,722.0125
0.003,180,900,0.003,0.0,0.04,0.0,566.345472
0.003,180,1200,0.0035,0.05,0.0,0.0015,575.396718
0.004,180,1000,0.0035,0.05,0.015,0.002,569.81949
0.004,180,1200,0.004,0.025,0.015,0.002,634.450747
0.003,180,900,0.003,0.0,0.02,0.0,1014.246145
0.004,180,900,0.0035,0.05,0.025,0.002,641.853249
0.004,180,1000,0.003,0.025,0.025,0.0,598.317152
0.005,200,1200,0.0035,0.025,0.02,0.0025,1277.630744
0.005,200,1200,0.003,0.0,0.025,0.005,723.318806
0.004,180,1200,0.004,0.05,0.025,0.004,812.027813
0.004,240,1200,0.0035,0.0,0.02,0.002,932.533362
0.004,240,900,0.004,0.05,0.02,0.002,614.445382
0.003,200,1000,0.004,0.025,0.025,0.0,507.835552
0.003,200,900,0.003,0.0,0.02,0.003,1000.337308
0.003,200,1200,0.004,0.0,0.02,0.003,1500.0
0.005,240,1000,0.004,0.0,0.0,0.0,509.956903
0.005,200,1000,0.003,0.025,0.0,0.0025,615.340061
0.004,200,900,0.004,0.05,0.0,0.002,538.2744
0.003,240,900,0.0035,0.05,0.015,0.0015,601.656583
0.003,240,1000,0.003,0.0,0.04,0.0,486.615787
0.005,200,1000,0.003,0.05,0.02,0.0,948.308682
0.005,240,1200,0.0035,0.05,0.025,0.0025,632.144061
0.005,180,900,0.004,0.025,0.04,0.005,573.701508
0.004,180,1000,0.004,0.05,0.02,0.0,714.620027
0.003,180,900,0.004,0.025,0.02,0.0,525.950162
0.004,200,1200,0.004,0.05,0.015,0.0,624.302393
0.004,180,900,0.004,0.05,0.0,0.0,599.104418
0.003,200,900,0.004,0.025,0.04,0.0015,510.136835
0.003,240,900,0.003,0.05,0.02,0.0,1079.740644
0.004,240,1000,0.0035,0.0,0.04,0.004,544.875297
0.003,180,1000,0.0035,0.0,0.015,0.0015,543.894715
0.005,240,900,0.003,0.0,0.02,0.0025,756.757495
0.003,180,1000,0.0035,0.0,0.025,0.0015,854.620372
0.004,240,1200,0.0035,0.025,0.015,0.002,853.744916
0.005,200,1200,0.004,0.025,0.04,0.0,575.560968
0.005,240,900,0.004,0.025,0.025,0.0025,662.248347
0.004,180,1200,0.003,0.05,0.015,0.0,763.757255
0.004,240,900,0.004,0.025,0.025,0.004,691.161906
0.005,180,1000,0.004,0.025,0.025,0.0,737.972212
0.003,180,1000,0.003,0.025,0.0,0.003,715.167278
0.004,200,900,0.003,0.025,0.04,0.002,587.936933
0.003,200,1000,0.003,0.0,0.025,0.0015,1099.224956
0.003,200,900,0.004,0.025,0.0,0.003,510.995147
0.003,240,1000,0.0035,0.05,0.02,0.0,945.47607
0.003,240,900,0.004,0.025,0.02,0.0,853.837076
