x-axis coordinate: 0.01, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 810.39
x-axis coordinate: 0.01, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 757.38
x-axis coordinate: 0.01, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 776.23
x-axis coordinate: 0.01, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 727.14
x-axis coordinate: 0.01, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 699.24
x-axis coordinate: 0.015, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 923.50
x-axis coordinate: 0.015, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 871.44
x-axis coordinate: 0.015, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 867.12
x-axis coordinate: 0.015, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 795.18
x-axis coordinate: 0.015, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 732.26
x-axis coordinate: 0.02, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 1038.20
x-axis coordinate: 0.02, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 991.83
x-axis coordinate: 0.02, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 942.08
x-axis coordinate: 0.02, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 910.37
x-axis coordinate: 0.02, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 853.49
x-axis coordinate: 0.025, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 1049.54
x-axis coordinate: 0.025, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 1063.19
x-axis coordinate: 0.025, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 1021.15
x-axis coordinate: 0.025, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 1045.55
x-axis coordinate: 0.025, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 963.20
x-axis coordinate: 0.03, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 1068.83
x-axis coordinate: 0.03, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 1123.00
x-axis coordinate: 0.03, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 1038.48
x-axis coordinate: 0.03, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 1127.81
x-axis coordinate: 0.03, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 1093.50
x-axis coordinate: 0.035, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 1104.94
x-axis coordinate: 0.035, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 1152.55
x-axis coordinate: 0.035, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 1004.92
x-axis coordinate: 0.035, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 1042.96
x-axis coordinate: 0.035, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 1098.10
x-axis coordinate: 0.04, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 1077.53
x-axis coordinate: 0.04, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 1077.35
x-axis coordinate: 0.04, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 854.12
x-axis coordinate: 0.04, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 848.40
x-axis coordinate: 0.04, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 916.60
x-axis coordinate: 0.045, Initial temperature: 230.87, Heat Input: 1062.84, Electrode Velocity: 0.0031, Maximum temperature prediction: 999.24
x-axis coordinate: 0.045, Initial temperature: 230.87, Heat Input: 1051.99, Electrode Velocity: 0.0032, Maximum temperature prediction: 939.43
x-axis coordinate: 0.045, Initial temperature: 227.75, Heat Input: 1018.72, Electrode Velocity: 0.0035, Maximum temperature prediction: 678.56
x-axis coordinate: 0.045, Initial temperature: 220.74, Heat Input: 1049.97, Electrode Velocity: 0.0036, Maximum temperature prediction: 682.22
x-axis coordinate: 0.045, Initial temperature: 224.24, Heat Input: 1018.72, Electrode Velocity: 0.0032, Maximum temperature prediction: 754.70
